batch,sim,x,y
sim37_N0p1,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.0028569365023636273
sim37_N0p1,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.0021392414790023517
sim37_N0p1,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.01154546426948011
sim37_N0p1,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.016609220824060245
sim37_N0p1,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.018216084052240067
sim37_N0p1,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.007948463332775768
sim37_N0p1,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.0007646862171542534
sim37_N0p1,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.00045399059959372323
sim37_N0p1,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.012703634355324622
sim37_N0p1,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.005964084842594808
sim37_N0p1,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.0015292881074691067
sim37_N0p1,Allo7_S020W010.hist_Ks_hist_fit2.0,20,-3.007156247458731e-05
sim37_N0p1,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.0007035370189604206
sim37_N0p1,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.002350293753144328
sim37_N0p1,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.005531896819220727
sim37_N0p1,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.0046541690124608515
sim37_N0p1,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.0022705116731385755
sim37_N0p1,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.026737563684664623
sim37_N0p1,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.003298448593742509
sim37_N0p1,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.0005247396703784712
sim37_N0p1,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.00657618903520274
sim37_N0p1,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.0004308561913594078
sim37_N0p1,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.0024388708251978364
sim37_N0p1,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.007603020697790619
sim37_N0p1,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.003248711784506253
sim37_N0p1,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.021525187121052225
sim37_N0p1,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.0039049547974968624
sim37_N0p1,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.0003819909628889895
sim37_N0p1,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.0017558736606915204
sim37_N0p1,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.0021478583417001706
sim37_N0p1,Auto5_S040W040.hist_Ks_hist_fit2.0,40,2.5401525631296717e-05
sim37_N0p1,Auto7_S020W020.hist_Ks_hist_fit2.0,20,-0.00019118219128566594
sim37_N1,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.0030446979683402264
sim37_N1,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.003029042919178271
sim37_N1,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.010896552715691232
sim37_N1,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.010531430126539343
sim37_N1,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.01911454032146398
sim37_N1,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.001301317894810028
sim37_N1,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.002248794635835605
sim37_N1,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.010877131649263072
sim37_N1,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.01985687642616718
sim37_N1,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.010820018912668927
sim37_N1,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.0019193924682280317
sim37_N1,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.002777815726989291
sim37_N1,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.0035075641002896285
sim37_N1,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.002957412400743431
sim37_N1,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.003123164249132615
sim37_N1,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.0060588912359080815
sim37_N1,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.004991694942822977
sim37_N1,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.02609905594350248
sim37_N1,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.00545112976559492
sim37_N1,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.003763774108496154
sim37_N1,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.008046831160895773
sim37_N1,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.004225769851098821
sim37_N1,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.00485831602477238
sim37_N1,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.005657513726104235
sim37_N1,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.02096853452725378
sim37_N1,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.00862837096389757
sim37_N1,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.006504055548373522
sim37_N1,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.0003076332329753906
sim37_N1,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.0026345455010866603
sim37_N1,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.0006964588547574424
