bin,# in bin
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,1.0
0.005,1.0
0.006,2.0
0.007,4.0
0.008,11.0
0.009000000000000001,8.0
0.01,5.0
0.011,9.0
0.012,3.0
0.013000000000000001,1.0
0.014,3.0
0.015,3.0
0.016,5.0
0.017,4.0
0.018000000000000002,6.0
0.019,4.0
0.02,5.0
0.021,5.0
0.022,6.0
0.023,2.0
0.024,3.0
0.025,5.0
0.026000000000000002,3.0
0.027,4.0
0.028,6.0
0.029,4.0
0.03,3.0
0.031,4.0
0.032,6.0
0.033,2.0
0.034,5.0
0.035,2.0
0.036000000000000004,2.0
0.037,2.0
0.038,3.0
0.039,2.0
0.04,4.0
0.041,2.0
0.042,1.0
0.043000000000000003,4.0
0.044,1.0
0.045,2.0
0.046,0.0
0.047,2.0
0.048,1.0
0.049,2.0
0.05,3.0
0.051000000000000004,2.0
0.052000000000000005,1.0
0.053,3.0
0.054,3.0
0.055,2.0
0.056,1.0
0.057,3.0
0.058,0.0
0.059000000000000004,0.0
0.06,3.0
0.061,0.0
0.062,0.0
0.063,1.0
0.064,3.0
0.065,4.0
0.066,2.0
0.067,1.0
0.068,4.0
0.069,2.0
0.07,1.0
0.07100000000000001,1.0
0.07200000000000001,1.0
0.073,1.0
0.074,2.0
0.075,3.0
0.076,7.0
0.077,4.0
0.078,7.0
0.079,10.0
0.08,13.0
0.081,8.0
0.082,20.0
0.083,22.0
0.084,23.0
0.085,48.0
0.08600000000000001,49.0
0.08700000000000001,36.0
0.088,60.0
0.089,64.0
0.09,65.0
0.091,66.0
0.092,89.0
0.093,87.0
0.094,88.0
0.095,98.0
0.096,120.0
0.097,104.0
0.098,115.0
0.099,121.0
0.1,111.0
0.101,138.0
0.10200000000000001,103.0
0.10300000000000001,125.0
0.10400000000000001,103.0
0.105,91.0
0.106,86.0
0.107,75.0
0.108,78.0
0.109,61.0
0.11,42.0
0.111,52.0
0.112,40.0
0.113,30.0
0.114,38.0
0.115,35.0
0.116,19.0
0.117,23.0
0.11800000000000001,14.0
0.11900000000000001,8.0
0.12,11.0
0.121,6.0
0.122,3.0
0.123,3.0
0.124,1.0
0.125,3.0
0.126,1.0
0.127,0.0
0.128,0.0
0.129,0.0
0.13,2.0
0.131,1.0
0.132,0.0
0.133,0.0
0.134,0.0
0.135,0.0
0.136,0.0
0.137,1.0
0.138,0.0
0.139,0.0
0.14,0.0
0.14100000000000001,0.0
0.14200000000000002,0.0
0.14300000000000002,0.0
