bin,# in bin
0.0,9.0
0.001,4.0
0.002,5.0
0.003,6.0
0.004,4.0
0.005,6.0
0.006,3.0
0.007,2.0
0.008,2.0
0.009000000000000001,3.0
0.01,4.0
0.011,6.0
0.012,2.0
0.013000000000000001,3.0
0.014,1.0
0.015,7.0
0.016,3.0
0.017,1.0
0.018000000000000002,3.0
0.019,6.0
0.02,0.0
0.021,0.0
0.022,3.0
0.023,0.0
0.024,1.0
0.025,2.0
0.026000000000000002,3.0
0.027,1.0
0.028,4.0
0.029,3.0
0.03,5.0
0.031,2.0
0.032,2.0
0.033,1.0
0.034,6.0
0.035,0.0
0.036000000000000004,2.0
0.037,1.0
0.038,3.0
0.039,4.0
0.04,0.0
0.041,2.0
0.042,0.0
0.043000000000000003,1.0
0.044,3.0
0.045,0.0
0.046,1.0
0.047,3.0
0.048,1.0
0.049,0.0
0.05,3.0
0.051000000000000004,2.0
0.052000000000000005,1.0
0.053,1.0
0.054,0.0
0.055,2.0
0.056,2.0
0.057,1.0
0.058,2.0
0.059000000000000004,1.0
0.06,1.0
0.061,1.0
0.062,3.0
0.063,2.0
0.064,0.0
0.065,1.0
0.066,3.0
0.067,0.0
0.068,1.0
0.069,0.0
0.07,1.0
0.07100000000000001,0.0
0.07200000000000001,1.0
0.073,0.0
0.074,1.0
0.075,2.0
0.076,1.0
0.077,2.0
0.078,2.0
0.079,3.0
0.08,0.0
0.081,0.0
0.082,2.0
0.083,1.0
0.084,2.0
0.085,3.0
0.08600000000000001,2.0
0.08700000000000001,1.0
0.088,1.0
0.089,2.0
0.09,1.0
0.091,1.0
0.092,0.0
0.093,0.0
0.094,1.0
0.095,1.0
0.096,1.0
0.097,2.0
0.098,1.0
0.099,0.0
0.1,1.0
0.101,0.0
0.10200000000000001,1.0
0.10300000000000001,2.0
0.10400000000000001,0.0
0.105,3.0
0.106,0.0
0.107,1.0
0.108,0.0
0.109,2.0
0.11,0.0
0.111,0.0
0.112,0.0
0.113,0.0
0.114,1.0
0.115,0.0
0.116,3.0
0.117,0.0
0.11800000000000001,0.0
0.11900000000000001,1.0
0.12,0.0
0.121,0.0
0.122,1.0
0.123,0.0
0.124,0.0
0.125,1.0
0.126,2.0
0.127,0.0
0.128,0.0
0.129,0.0
0.13,0.0
0.131,1.0
0.132,0.0
0.133,0.0
0.134,2.0
0.135,0.0
0.136,1.0
0.137,0.0
0.138,0.0
0.139,0.0
0.14,0.0
0.14100000000000001,0.0
0.14200000000000002,1.0
0.14300000000000002,0.0
0.14400000000000002,0.0
0.145,1.0
0.146,0.0
0.147,0.0
0.148,0.0
0.149,0.0
0.15,0.0
0.151,0.0
0.152,0.0
0.153,1.0
0.154,1.0
0.155,1.0
0.156,0.0
0.157,0.0
0.158,0.0
0.159,0.0
0.16,0.0
0.161,0.0
0.162,0.0
0.163,1.0
0.164,0.0
0.165,0.0
0.166,2.0
0.167,0.0
0.168,1.0
0.169,0.0
0.17,0.0
0.171,0.0
0.17200000000000001,0.0
0.17300000000000001,0.0
0.17400000000000002,0.0
0.17500000000000002,0.0
0.176,0.0
0.177,0.0
0.178,0.0
0.179,1.0
0.18,0.0
0.181,0.0
0.182,0.0
0.183,0.0
0.184,0.0
0.185,0.0
0.186,0.0
0.187,0.0
0.188,0.0
0.189,1.0
0.19,0.0
0.191,0.0
0.192,0.0
0.193,0.0
0.194,0.0
0.195,0.0
0.196,0.0
0.197,0.0
0.198,0.0
0.199,0.0
0.2,0.0
0.201,0.0
0.202,0.0
0.203,0.0
0.20400000000000001,0.0
0.20500000000000002,0.0
0.20600000000000002,0.0
0.20700000000000002,0.0
0.20800000000000002,1.0
0.209,1.0
0.21,0.0
0.211,0.0
0.212,0.0
0.213,0.0
0.214,0.0
0.215,0.0
0.216,0.0
0.217,0.0
0.218,0.0
0.219,0.0
0.22,0.0
0.221,0.0
0.222,0.0
0.223,0.0
0.224,0.0
0.225,0.0
0.226,0.0
0.227,0.0
0.228,0.0
0.229,0.0
0.23,0.0
0.231,0.0
0.232,0.0
0.233,1.0
0.234,0.0
0.23500000000000001,0.0
