bin,# in bin
0.367,2.0
0.368,3.0
0.369,3.0
0.37,9.0
0.371,6.0
0.372,3.0
0.373,3.0
0.374,2.0
0.375,4.0
0.376,3.0
0.377,3.0
0.378,3.0
0.379,5.0
0.38,4.0
0.381,1.0
0.382,3.0
0.383,4.0
0.384,2.0
0.385,2.0
0.386,4.0
0.387,3.0
0.388,3.0
0.389,3.0
0.39,2.0
0.391,3.0
0.392,4.0
0.393,6.0
0.394,7.0
0.395,5.0
0.396,1.0
0.397,2.0
0.398,3.0
0.399,5.0
0.4,3.0
0.401,5.0
0.402,8.0
0.403,5.0
0.404,2.0
0.405,5.0
0.406,10.0
0.40700000000000003,2.0
0.40800000000000003,3.0
0.40900000000000003,3.0
0.41000000000000003,4.0
0.41100000000000003,4.0
0.41200000000000003,2.0
0.41300000000000003,4.0
0.41400000000000003,6.0
0.41500000000000004,4.0
0.41600000000000004,4.0
0.417,4.0
0.418,2.0
0.419,4.0
0.42,3.0
0.421,2.0
0.422,5.0
0.423,2.0
0.424,4.0
0.425,1.0
0.426,2.0
0.427,3.0
0.428,1.0
0.429,3.0
0.43,2.0
0.431,4.0
0.432,2.0
0.433,4.0
0.434,2.0
0.435,4.0
0.436,3.0
0.437,2.0
0.438,4.0
0.439,4.0
0.44,1.0
0.441,2.0
0.442,1.0
0.443,3.0
0.444,0.0
0.445,4.0
0.446,3.0
0.447,4.0
0.448,9.0
0.449,4.0
0.45,5.0
0.451,5.0
0.452,6.0
0.453,2.0
0.454,0.0
0.455,4.0
0.456,3.0
0.457,6.0
0.458,4.0
0.459,2.0
0.46,3.0
0.461,1.0
0.462,1.0
0.463,3.0
0.464,2.0
0.465,2.0
0.466,1.0
0.467,2.0
0.468,1.0
0.46900000000000003,1.0
0.47000000000000003,1.0
0.47100000000000003,3.0
0.47200000000000003,1.0
0.47300000000000003,4.0
0.47400000000000003,0.0
0.47500000000000003,2.0
0.47600000000000003,1.0
0.47700000000000004,1.0
0.47800000000000004,3.0
0.47900000000000004,1.0
0.48,1.0
0.481,2.0
0.482,3.0
0.483,2.0
0.484,2.0
0.485,1.0
0.486,3.0
0.487,0.0
0.488,5.0
0.489,2.0
0.49,3.0
0.491,1.0
0.492,0.0
0.493,1.0
0.494,2.0
0.495,3.0
0.496,3.0
0.497,2.0
0.498,3.0
0.499,2.0
0.5,2.0
0.501,0.0
0.502,0.0
0.503,0.0
0.504,2.0
0.505,1.0
0.506,1.0
0.507,1.0
0.508,0.0
0.509,1.0
0.51,2.0
0.511,0.0
0.512,2.0
0.513,1.0
0.514,2.0
0.515,0.0
0.516,0.0
0.517,1.0
0.518,2.0
0.519,0.0
0.52,2.0
0.521,1.0
0.522,0.0
0.523,1.0
0.524,0.0
0.525,1.0
0.526,2.0
0.527,1.0
0.528,0.0
0.529,2.0
0.53,3.0
0.531,2.0
0.532,3.0
0.533,3.0
0.534,0.0
0.535,1.0
0.536,2.0
0.537,1.0
0.538,1.0
0.539,3.0
0.54,0.0
0.541,4.0
0.542,2.0
0.543,1.0
0.544,1.0
0.545,2.0
0.546,2.0
0.547,3.0
0.548,2.0
0.549,3.0
0.55,1.0
0.551,2.0
0.552,0.0
0.553,4.0
0.554,1.0
0.555,1.0
0.556,2.0
0.557,1.0
0.558,0.0
0.559,1.0
0.56,2.0
0.561,2.0
0.562,0.0
0.5630000000000001,1.0
0.5640000000000001,1.0
0.5650000000000001,1.0
0.5660000000000001,0.0
0.5670000000000001,1.0
0.5680000000000001,3.0
0.5690000000000001,3.0
0.5700000000000001,5.0
0.5710000000000001,0.0
0.5720000000000001,2.0
0.5730000000000001,2.0
0.5740000000000001,1.0
0.5750000000000001,1.0
0.5760000000000001,3.0
0.577,3.0
0.578,0.0
0.579,1.0
0.58,2.0
0.581,0.0
0.582,1.0
0.583,2.0
0.584,1.0
0.585,1.0
0.586,3.0
0.587,0.0
0.588,0.0
0.589,3.0
0.59,0.0
0.591,2.0
0.592,1.0
0.593,1.0
0.594,2.0
0.595,2.0
0.596,2.0
0.597,0.0
0.598,3.0
0.599,3.0
0.6,0.0
0.601,1.0
0.602,1.0
0.603,0.0
0.604,0.0
0.605,0.0
0.606,0.0
0.607,2.0
0.608,2.0
0.609,0.0
0.61,1.0
0.611,3.0
0.612,0.0
0.613,2.0
0.614,1.0
0.615,0.0
0.616,0.0
0.617,1.0
0.618,0.0
0.619,1.0
0.62,3.0
0.621,0.0
0.622,2.0
0.623,0.0
0.624,0.0
0.625,0.0
0.626,0.0
0.627,0.0
0.628,2.0
0.629,1.0
0.63,0.0
0.631,0.0
0.632,2.0
0.633,3.0
0.634,3.0
0.635,1.0
0.636,0.0
0.637,0.0
0.638,1.0
0.639,0.0
0.64,0.0
0.641,1.0
0.642,0.0
0.643,0.0
0.644,2.0
0.645,1.0
0.646,2.0
0.647,0.0
0.648,3.0
0.649,1.0
0.65,2.0
0.651,4.0
0.652,1.0
0.653,3.0
0.654,1.0
0.655,0.0
0.656,0.0
0.657,0.0
0.658,0.0
0.659,2.0
0.66,1.0
0.661,1.0
0.662,2.0
0.663,0.0
0.664,2.0
0.665,0.0
0.666,0.0
0.667,1.0
0.668,2.0
0.669,0.0
0.67,1.0
0.671,2.0
0.672,0.0
0.673,2.0
0.674,0.0
0.675,0.0
0.676,0.0
0.677,0.0
0.678,1.0
0.679,0.0
0.68,2.0
0.681,1.0
0.682,1.0
0.683,1.0
0.684,0.0
0.685,3.0
0.686,2.0
0.687,2.0
0.6880000000000001,1.0
0.6890000000000001,0.0
0.6900000000000001,1.0
0.6910000000000001,1.0
0.6920000000000001,2.0
0.6930000000000001,1.0
0.6940000000000001,1.0
0.6950000000000001,1.0
0.6960000000000001,2.0
0.6970000000000001,2.0
0.6980000000000001,0.0
