bin,# in bin
0.0,5.0
0.001,3.0
0.002,4.0
0.003,1.0
0.004,4.0
0.005,1.0
0.006,4.0
0.007,5.0
0.008,6.0
0.009000000000000001,3.0
0.01,8.0
0.011,4.0
0.012,5.0
0.013000000000000001,3.0
0.014,5.0
0.015,7.0
0.016,2.0
0.017,5.0
0.018000000000000002,6.0
0.019,3.0
0.02,1.0
0.021,2.0
0.022,8.0
0.023,4.0
0.024,1.0
0.025,8.0
0.026000000000000002,3.0
0.027,3.0
0.028,1.0
0.029,1.0
0.03,1.0
0.031,5.0
0.032,3.0
0.033,2.0
0.034,2.0
0.035,3.0
0.036000000000000004,3.0
0.037,2.0
0.038,2.0
0.039,1.0
0.04,3.0
0.041,4.0
0.042,4.0
0.043000000000000003,3.0
0.044,1.0
0.045,0.0
0.046,2.0
0.047,0.0
0.048,0.0
0.049,2.0
0.05,3.0
0.051000000000000004,1.0
0.052000000000000005,3.0
0.053,4.0
0.054,4.0
0.055,3.0
0.056,4.0
0.057,1.0
0.058,2.0
0.059000000000000004,2.0
0.06,1.0
0.061,2.0
0.062,0.0
0.063,2.0
0.064,0.0
0.065,2.0
0.066,1.0
0.067,1.0
0.068,3.0
0.069,1.0
0.07,1.0
0.07100000000000001,3.0
0.07200000000000001,0.0
0.073,0.0
0.074,0.0
0.075,1.0
0.076,1.0
0.077,2.0
0.078,1.0
0.079,2.0
0.08,1.0
0.081,2.0
0.082,4.0
0.083,3.0
0.084,1.0
0.085,3.0
0.08600000000000001,6.0
0.08700000000000001,2.0
0.088,3.0
0.089,7.0
0.09,3.0
0.091,4.0
0.092,8.0
0.093,4.0
0.094,7.0
0.095,7.0
0.096,10.0
0.097,10.0
0.098,12.0
0.099,17.0
0.1,11.0
0.101,19.0
0.10200000000000001,19.0
0.10300000000000001,18.0
0.10400000000000001,16.0
0.105,22.0
0.106,20.0
0.107,26.0
0.108,16.0
0.109,21.0
0.11,21.0
0.111,24.0
0.112,23.0
0.113,20.0
0.114,22.0
0.115,21.0
0.116,17.0
0.117,34.0
0.11800000000000001,21.0
0.11900000000000001,26.0
0.12,17.0
0.121,20.0
0.122,31.0
0.123,23.0
0.124,18.0
0.125,25.0
0.126,19.0
0.127,18.0
0.128,28.0
0.129,16.0
0.13,18.0
0.131,27.0
0.132,21.0
0.133,24.0
0.134,29.0
0.135,26.0
0.136,17.0
0.137,27.0
0.138,19.0
0.139,21.0
0.14,20.0
0.14100000000000001,27.0
0.14200000000000002,22.0
0.14300000000000002,19.0
0.14400000000000002,16.0
0.145,15.0
0.146,15.0
