batch,sim,x,y
sim37_N5,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.628
sim37_N5,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.219
sim37_N5,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.825
sim37_N5,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.825
sim37_N5,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.727
sim37_N5,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.527
sim37_N5,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.216
sim37_N5,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.317
sim37_N5,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.422
sim37_N5,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.528
sim37_N5,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.625
sim37_N5,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.421
sim37_N5,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.835
sim37_N5,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.624
sim37_N5,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.419
sim37_N5,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.621
sim37_N5,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.114
sim37_N5,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.319
sim37_N5,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.727
sim37_N5,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.8
sim37_N5,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.696
sim37_N5,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.599
sim37_N5,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.099
sim37_N5,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.298
sim37_N5,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.498
sim37_N5,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.399
sim37_N5,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.199
sim36_N10,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.324
sim36_N10,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.535
sim36_N10,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.745
sim36_N10,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.746
sim36_N10,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.848
sim36_N10,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.633
sim36_N10,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.223
sim36_N10,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.867
sim36_N10,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.846
sim36_N10,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.753
sim36_N10,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.539
sim36_N10,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.222
sim36_N10,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.327
sim36_N10,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.436
sim36_N10,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.534
sim36_N10,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.641
sim36_N10,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.436
sim36_N10,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.862
sim36_N10,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.638
sim36_N10,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.43
sim36_N10,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.668
sim36_N10,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.123
sim36_N10,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.328
sim36_N10,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.742
sim36_N10,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.795
sim36_N10,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.694
sim36_N10,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.599
sim36_N10,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.099
sim36_N10,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.297
sim36_N10,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.499
sim36_N10,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.398
sim36_N10,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.2
sim37_N20,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.338
sim37_N20,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.562
sim37_N20,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.769
sim37_N20,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.773
sim37_N20,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.864
sim37_N20,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.659
sim37_N20,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.232
sim37_N20,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.869
sim37_N20,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.875
sim37_N20,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.765
sim37_N20,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.545
sim37_N20,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.24
sim37_N20,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.344
sim37_N20,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.449
sim37_N20,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.547
sim37_N20,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.665
sim37_N20,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.446
sim37_N20,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.861
sim37_N20,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.659
sim37_N20,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.448
sim37_N20,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.657
sim37_N20,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.133
sim37_N20,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.34
sim37_N20,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.757
sim37_N20,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.786
sim37_N20,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.691
sim37_N20,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.597
sim37_N20,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.099
sim37_N20,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.298
sim37_N20,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.5
sim37_N20,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.398
sim37_N20,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.199
